1165. A pitot tube is used to measure
	Prasanna, 2013, Pitot tube is used for to find out the velocity of the flow pipes or soil etc.
	Laxmi Shah, 2020, The minimum vacuum created at the summit of a syphon.
	Shivanshu, 2020, For vacuum, it will be 7.8.
	Sunil, 2020, The pressure is only -7.6m of water or 10.3-7.6= 2.7 m of water absolute. $% p vacuum = p atm - p absolute. $% So maximum vacuum = 10.3-2.7 = 7.6 m.
	Jibin, 2021, The pressure at the summit is always less than atmospheric pressure. So, the highest point according to options is 7.4 that is less than 10.33, so the answer B is correct.



1169. If the atmospheric pressure on the surface of an oil tank (sp. gr. 0.8) is 0.1 kg/cm2, the pressure at a depth of 2.5 m, is
	Kanishk, 2013, How come the answer is C? $%  $% Initial Pressure in terms of ht. of water column= 1000/(1000*10)=0.1 m --- (i). $%  $% Pressure @ 2.5 m depth in oil tank = 2.5*800*10. $%  $% Representing above pressure as ht of water column, the answer comes out to be 2.0 m --- (ii). $%  $% (i) + (ii) = 2.1m.
	Nikku, 2013, Pressure head in terms of water = 2.5/0.8 = 3.1m.
	Hitesh Kumar, 2013, Total pressure = ((.1*10^4)/1000)+(.8*2.5) = 3.
	Kumar, 2014, Initial pressure is 1000 kg/m^2. $%  $% Pressure at 2.5 m depth is 19620 kg/m^2. $%  $% Total pressure at a depth 2.5 m is = 19620+1000 = 20620 kg/m^2. $%  $% Depth in terms of water = 20620/(1000*9.81) = 2.1 m.
	Ruben, 2015, From Basic Hydro static principle (FM text book by Frank m White). $%  $% P = Pa-Gamma (Z2-Z1). $%  $% Where Pa = Atmospheric pressure in n/m2 Z1 = 0 (Reference surface) and Z2 = negative downwards. $%  $% = (0.98 n/m2-7848(-2.5)). $%  $% = 19620.8 pa. $%  $% H = (19620.8/(1000*9.81)) = 2 m of water.
	Nikita Patil, 2015, How do you calculate the pressure at the given height? Please explain me.
	Manpraveen, 2015, P = &dollar;gh. $%  $% Pressure for oil = 0.8*1000*9.81*2.5 = 19620 n/m^2. $%  $% Pressure for water = 1000*9.81*h = 19620. $%  $% H1 = 19620/9810 = 2 m. $%  $% H2 = atmospheric head = p/&dollar;g. $%  $% H2 = 1000*9.81/1000*9.81= 1 m. $%  $% Total head = H1+H2 = 2+1 = 3 m (Answer).
	Ma Murtaza, 2015, p*ATM = 0.1 kg/cm*2 = 1000 kg/m*2 = 9810 N/m*2. $%  $% p*oil = 19620 N/m*2 (after calculation). $%  $% Total pressure = 29430 N/m*2. $%  $% Hence, h*water = 29430/9810 = 3 m of water.
	Abdilahi Khalif, 2015, 1000/(1000+2.5*0.8) = 3.
	Rizgar Karim, 2015, Patm = 0.1kg/cm2 = 0.1*10000*9.81/1000 = 9.81 KN/m2. $%  $% Poil = 0.8*9.81*2.5 = 19.62 KN/m2. $%  $% Ptotal = Patm + Poil. $%  $% Ptotal = 19.62 + 9.81 = 29.43 KN/m2. $%  $% P in-term of water = 29.43/9.81 = 3m of water.
	Ccjayesh, 2016, Pa = 0.1 kg/cm2 = 1000 kg/m2. $%  $% Poil = 800*2.5 = 2000 kg/m2. $%  $% Total = 3000 kg/m2 = 3000/1000 = 3 meters of water.
	Anonymous, 2016, P2 = P1 + Density(H); P1 = 0.1kg/cm^2 or 1000kg/m2. $%  $% Density of oil = specific Gravity x 1000 kg/m3.  $% = 800kg/m3 (Note: 1000kg/m3 is the density of water). $% P2 = 1000 + 800 x 2.5 = 3000kg/m2. $% Pressure in H of Water = 3000/1000 = 3.0m.
	Kailash Paliwal, 2016, Atmosphere pressure =.1kg/cm2 = 1000 kg/m2. $%  $% 1000kg/1000kg = 1m of water. $%  $% Oil pressure = 2.5m = 2.5 *.8 = 2m of water. Total height = 1 + 2 = 3 m. Hence c is right.
	Bahram, 2016, First Patm = 0.1kg/sq/cm = 1000 kg/sq.m. $% Now Poil = S(oil) * ρ(water) *h(oil) => 0.8 * 1000 * 2.5 = 2,000 kg/sq.m. $%  $% So, P(total at bottom) = 2,000 + 1,000 = 3,000 kg/sq.m. $%  $% Now h(pressure in terms of head of water) = P(total)/ρ(water) =>  3,000 kg/sq.m/1,000 kg/cu.m = 3 m of water.
	Komala Sai, 2016, Patm = 0.1kg/cm^2 $% => 1000kg/m^2. $%  $% Poil = (0.8 * 1000) * 2.5 $% = 2000 kg/m^2. $%  $% Finally in terms of water = (1000 + 2000) &div; 1000, $% = 3m of water.
	Rajani Patel, 2017, Pressure at surface =10000kg/m^2. $% Pressure at a depth of 2.5 m=(2.5*9.81*800)=19620. $% Total pressure=29620. $% H=P/1000*9.81=29620/1000*9.81. $% H = 3.01m of water.
	Anonymous, 2017, I think the answer should be 2 m. Because the atm pressure will be same for both oil surface and water surface. So it will be neglected.  $%  $% Please reply if anyone thinks I'm wrong. And do explain. Thanks.
	Jeevan, 2017, Specific Gravity of oil  is .8 & water is 1. So oil has less density the water therefor, water shows less head. So, the answer will be 2m not 3.
	Sashaus, 2017, S1 h1 = s2 h2 or  £1h1 = £2h2.  $% £ = density , s= sp.gr. $%  $% 1000 h1 = 800 * 2.5.  $% H1 = 2 + 1 (initially pressure is 1) = 3.
	Er. Dipesh Yadav, 2017, Atmospheric pressure = 0.1 * 9.81 * 100 * 100 = 9810 N/m2. $% Pressure at 2.5m depth = 0.8 * 9810 * 2.5 = 19620 N/m2. $% Total pressure at depth 2.5m = 9810 + 19620 = 29430 N/m2. $% Height in terms of water= 29430/9810 = 3m.
	Makar, 2017, Yes, correct @Dipesh.
	Makar, 2017, 1 kg/m2 = 1000kg/cm2 this are correct.
	Suresh Yadav, 2017, Yes, your answer is correct. Thank you @Dipesh.
	Gurmeet, 2017, Simply P = density * gh.
	Waqar Ahmed Awan, 2017, We know that; $%  $% 1kg=9.81N and 1m=100cm.  $% let atmosppheric pressure at top surface be; P1=denssity*g*h=0.1kg/cm2=0.1*9.81*100*100=9810N/m2. $% let pressure at heigt of 2.5m  be p2=0.8*1000*9.81*2.5=19620N/M2. $% now total pressureP =p1+p2=9810+19620=29430N/m2. $% NOW pressure in terms of water =P/p1=29430/9810=3m so option C is correct.
	Prashant, 2018, How (total pressure/atm pressure) is equal to the pressure head of water? $%  $% Please explain anyone. $%  $% Thanks.
	Nani Abdul, 2018, Patm + (0.8)(2.5m)(9810N/m3) = Hh2o(9810N/m3). $%  $% Patm = 0.1Kg/cm2 --> 1000Kg/m2. $% Patm = 1000Kg/m2(9.81m/s2) -->  9810N/m2 (Pa). $%  $% 9810N/m2 + (0.8)(2.5m)(9810N/m3) = Hh2o(9810N/m3). $% Hh20 = (9810N/m2 + (0.8)(2.5m)(9810N/m3))/9810N/m3. $% Hh20 = 3mts.
	Amare Yihunie, 2019, Specific gravity oil = 0.8. $%  $% Density of oil=0.8*1000=800 kg/m3 $% Atmospheric pressure at surface of oil=0.1 kg/cm2=0.1*10000*10=20,000 pascal $% Pressure of oil at depth of 2.5 m = 800 * 2.5 * 10 = 10,000 pascal. $%  $% Total pressure = 10,000 + 20,000 = 30000 pascal. $%  $% In terms of water depth pressure = density of water * depth of water * gravity. $%  $% The Depth of water = pressure/density * gravity = 30,000/(10000*10) = 3 meter.
	Govind, 2020, The pressure at the bottom is 2.5x0.8x9.81= 19.62 KN/M3. $% Initial pressure at top= 0.1 kg/cm2= 0.1x98.06=9.80 KN/M3. $% Total pressure at Bottom =19.62+9.80 =29.42 KN/M3. $% Head= 29.4/9.81 =2.99 =3.00 Metre.
	Saurabh Kaday, 2020, Don't understand clearly. $%  $% Anyone, please solve it by standard formula with step by step with meaning.
	Ravinder, 2020, Patm=0.1kg/cm^2=10,000Kg/m^2. $% Pressure at 2.5m=0.8*1000*0.8*2.5=19620Kg/m^2. $% Total pressure at 2.5m=10,000+19620=29620Kg/m^2. $% But in option, we need pressure in terms of head=Pressure/(Density*g) $% H=29620/(9.81*1000)=3.1~3m of water column.
	Pawan Pandey, 2020, 0.1*10^4 kg/m2= 1000 kg/m2. $% 0.8*1000*2.5= 2000 kg/m2, $% 1000+2000= 3000 kg/m2  ( pressure ), $% 3000/1000= 3 m of water.
	Pavan, 2020, How the pressure at 250 cm comes out as 2000 Kg/m2? $%  $% That will be $gh, we don't consider 'g' value. $%  $% Can anyone explain me?
	Vikas, 2020, If we will consider the value of g then the pressure will come in the unit of Newton/square meter. $%  $% For determining the value of pressure in the form of kg/m2 we can't use Value of g.



1170. The total pressure force on a plane area is equal to the area multiplied by the intensity of pressure at its centroid, if
	Kanishk, 2013, In inclined, isn't it at the Center of Pressure?
	Madhu, 2015, I don't know any thing in this question.
	Kiran, 2015, Only h will changes in formula f=pgah.
	Sumit, 2015, Applicable for water tanks!
	Surendra, 2016, It is correct. $%  $% Total force will be acting on center of pressure.
	Tushar, 2017, The correct answer is (a) only when it is horizontal area.
	Pavan Nihani, 2017, How please explain @Tushar.
	Rajesh Saud, 2017, I think the answer should be A because, $%  $% Intensity of pressure always acts at the centre of pressure. $%  $% And centre of pressure and centroid are coincide only in case of horizontal area.
	Rajesh Saud, 2017, Centre of pressure and centroid coincide only in case of horizontal area. $%  $% Hence, the answer is A.
	Sajid, 2017, Here F= WAX. $%  $% Therefore irrespective of the angle it is correct for all.
	Sumit Saharan, 2017, Please explain it.
	Shubham Semwal, 2017, Total pressure P =wAx nd answer is all the above cause total pressure is same all the cases.
	Shubham Rajput, 2018, Agreed @Shubham Semwal.
	Manoj, 2018, Answer is right, the formula is pAX but the location of acting of pressure varies.
	Sudarshan Tuwar, 2020, It is Most suitable Answer is for Vertical. But P=WAX can be used to any surface.



1171. If the volume of a liquid weighing 3000 kg is 4 cubic metres, 0.75 is its
	Missaram Choudhary, 2013, Density of liquid = m/v = 3000/4 = 750kg/m3 $%  $% Density of liquid/density of water = 750/1000 = 0.75 = specific gravity.
	Mounika, 2015, Very nice explanation.
	Rahul, 2015, Shortcut: since 0.75 doesn't have any unit the only unit less parameter in the options is specific gravity :)
	Sujit Lokhande, 2016, Very nice explanation @Missaram.
	Sachin, 2016, Nice @Rahul.
	Ramu, 2016, Very nice explanation @Missaram.
	Sunil, 2016, Exact solution. Thank you.
	Aravind, 2016, Specific weight has units as KG.  $% Specific mass has units as M*3.  $% But specific gravity has no units so 3 is the correct answer.
	Vasu, 2016, What is specific gravity?
	Sumit Saharan Jaat, 2017, Thanks @Missaram Choudhary.
	Addisalem Mulugeta, 2017, Two liquids of specific gravities 1.25 and 0.75 and volumes of 0.01 and 0.006 meter cube are mixed if the bulk of the liquid shrink by 1% on mixing calculate the density and specific gravity of the mixture.
	Tanveer Ahmad, 2017, Very smart @Rahul.
	Doyel, 2017, Nice explanation @Missaram.
	Pawan, 2017, Nice trick @Rahul.
	Mesay Geremew, 2017, Explain the answer please.
	Animut Esubalew, 2018, Specfic gravity=density of substance/density ofwater.  $% density of substance =m/v,=3000/4.  $% specfic gravity=(3000/4)/1000=0.75.
	Lalitha, 2018, Good explanation @Choudhary.
	Yididya, 2018, Good explanation. Thank you all.
	Priyanka Shah, 2019, Thanks for explaining @Choudhary and @Rahul.
	Anirban, 2019, Option D will be correct because of density equal to mass/volume. $%  $% In this question, weight is given so mass will be 3000/9.81.
	Manisivan, 2020, Specific gravity = weight/volume. $%  $% Weight = 3000. $% Volume = 4 m^3. $% = 750 kg/M3. $% = 750 /1000  = 0.75.
	Prashanth Tinku, 2020, Thanks @Choudary.
	Pawan, 2020, Well explained @Missaram.
	Ankit Kothiyal, 2020, Because specific gravity is dimensionless.
	Gurjant Singh, 2020, Specific gravity is dimensionsless.
	Masum, 2020, Thanks @Missaram.



1172. Bernoulli's equation assumes that
	Jatinder Singh, 2014, Because all these assumption are made and part of bernoulli's theorem.
	Rajesh, 2019, Assumption made on Bernoulli's. $%  $% * Steady flow.  Incompressible flow.  $% * Irrotational flow. $% * Ideal flow.  $% * Frictionless flow. $% * No viscous.
	Soumya, 2020, What is stream line?
	Heenu, 2021, Stream line is an imaginary line.



1173. The time required to close a valve gradually is (where L is the length of pipe and C = velocity of pressure wave)
	Yellaiah, 2015, Time gradually T>2L%c. $%  $% Time suddenly T<2L%c.
	Asif Malik, 2018, Tell me? $%  $% How to solve it, what is this?
	Aadarsh Devkate, 2018, Greater than 2L/C.
	Ritesh Yadav, 2019, wlv/gt(gradually closing). $% wlkv/g(sudden closing). $%  $% Is right or wrong? Please tell me.
	Soumya, 2020, Please explain in detail, how to calculate the time?
	Subha Prakash Sahoo, 2021, 2L/C is water hammer case if time of closure is less than it pipe will brust so for gradual closing time of closure should be greater than 2L/C.
	Ravi, 2021, Nice, Thanks @Subha prakash.



1174. A syphon is used
	Shoaib Mazarzai Baloch, 2015, It is used in different points intervened by a hill.
	Shivam Kr Gupta, 2017, A long bend pipe, used to carry water from a reservoir at a higher level to another reservoir at a lower level when two reservoirs are separated by a hill, is called as syphon. The highest point of syphon is called as summit. $%  $% The highest point of syphon lies above the free water surface in the reservoir at higher level. Therefore, pressure at this point is below atmospheric. The negative or vacuum pressure is created in the syphon, so that liquid gets pushed into it. $%  $% Syphon works on Bernoulli's principle and it is used when the water have to take out from reservoir to another separated by a hill. Syphon is also used to drain out water from a channel without any outlet.
	S.H.Patil, 2018, Nice explanation. Thanks.
	Sunil, 2018, Nice explanation Thank you @Shivam.
	Lakhan Meena, 2019, Thank you @Shivam.
	Ercivilian, 2019, Thanks @Shivam.
	Sarath S, 2020, A long bent pipe connecting two reservoirs whose upper curvature lies above the hydraulic gradient. A syphon is installed in a way such that no section of pipe lies more than 7.6m above the hydraulic gradient line.
	Soumya, 2020, Thank you all for the explanation.
	Eshetie, 2020, Very nice explanation, thanks @Shivam.
	Prashant, 2020, Why not option C?



1175. Most economical section of a circular channel for maximum discharge
	Vasu, 2016, How? Explain.
	Danny, 2016, Q MAX AT0.98 dimeter.
	Shakeel, 2017, Explain it. Please.
	Yudi, 2017, Please anyone explain this question.
	Sudipta Kumar Singha, 2017, Explain it please.
	Karmveer, 2017, Plese anyone explain this question.
	Arvind, 2017, I think hydraulic depth should be .25d not .286d.
	Priya, 2017, Explain the answer.
	Animut Esualew, 2018, I think the most economical section is when descharege is increase and hydraulic radius is increase but wetted peremeter is decrese because hydraulic radius=area /wetted permeter to increase radius we must increase diameter so A, B are corect Q=1/N R^2/3S^1/2. $% R =area /peremeter.
	Rohit Attarde, 2018, A is the correct answer.
	Mayank, 2018, I think the answer is 0.25d, not 0.95.
	Shivakumar, 2018, Answer is 0.95.
	Hari, 2018, Please explain the answer clear and detail.
	Hemant, 2019, A is accurate answer.
	Deepakb, 2019, 0.95D is for chezy's constant.
	Vinod, 2020, Yes, the Answer is 0.95d.
	Nikhil Dongre, 2020, For circular channel, maximum Discharge = 0.95D. $% Maximum Velocity= 0.81D.
	Balarabe Musa, 2020, Most economical section of a circular channel is when the Depth of flow is  0.94 to 0.95 of its Diameter.



1176. Unit of kinematic viscosity is
	Nidhi Hinal, 2013, Unit of dynamic viscosity = Ns/m2. $%  $% Unit of density = kg/m3. $%  $% Now, kinetic viscosity = dynamic viscosity/density.        $%                        = (N sec/m2)/(kg/m3). $%                        = (mass x gravity x sec/m2)/(kg/m3). $%                        = (kg x m/sec2) x (sec/m2)/(kg/m3). $%                        = m2/sec.
	Utpal, 2016, Thank you, @Nidhi Hinal.
	Raja, 2016, Nice explanation @Nidhi Hinal.
	Sachin, 2016, Nice explanation @Nidhi Hinal.
	Era Examiner, 2016, Thank you @Nidhi.
	Parashuram Kagi, 2016, kinametic viscocity k = dynamic viscocity/density. $% Dynamic viscocity = N-sec/m^2. $% Density = m^3/sec.                             $% Hence K= N-sec/m^3/m^3/sec. $% k = N/m^2.
	Mahesh Bisen, 2016, Good explanation, thanks @ @Nidhi Hinal.
	Rajkumar, 2018, Excellent explanations. Thanks All.
	Abhisek, 2019, Kinametic viscocity k = dynamic viscocity/density. $% Dynamic viscocity = N-sec/m^2. $% Density = kg/m^3. $% Hence K = (N-sec/m^3)/(kg/m^3). $% 1N = Kg-m/s^2. $% So K = ((Kg-m/s^2)/m^3)/(kg/m^3). $% K = m^2/s.



1177. The moment of inertia of a floating body along its longitudinal axis and the volume of water displaced by it are I and V respectively. The height of the metacentre above centre of buoyancy of the body, is
	Rahul, 2017, Metacentric height = I/V-BG, so the height of metacenter above B will be I/V.
	Bhanu, 2017, BM=MOI(min)/volume(displaced), $%  $% So that                                                                                                                                  $% The height of metacenter will be I/V.
	Priyanka Shah, 2019, Please explain the answer in clear.
	Karthi, 2019, What is below the centre of the body?
	Jinish, 2019, If the metacentre is above the centre of gravity, buoyancy restores stability when the ship tilts. The stability increases with the distance between metacentre and centre of gravity called the metacentric height. If the metacentre is below the centre of gravity, the boat is unstable, and a tilt results in capsizing.



1178. Time of emptying liquid from a hemispherical vessel through an orifice at its bottom, is
	Xyz, 2017, Please explain it.
	Jaydatt, 2017, It should be R^(5/2).
	Kr Sheela, 2018, Please explain the answer.
	Sangeeta, 2018, Please expain it.
	Shivakumar, 2018, It should be R^5/2.
	Jinish, 2019, An orifice is used to control pressure or flow so to emptying the hemispherical vessel through orifice answer is D.
	Jinish, 2019, R^2/3 is okay but when the radius of the Hemi vessel and depth H is given at that time, in formula R^3/2-R^5/2 is used instead of R^3/2.
	Arvind Kumar Chaudhary, 2020, Here it is considered unit hight of the hemisphere.
	Khemraj Sahu, 2020, Please explain this answer.
	Pkota, 2021, Answer will be correct only in case R = H.



1179. Critical depth (h) of a channel, is
	Javed, 2015, As it depends on froudes number. For critical flow froudes number is one and the depth corresponding to critical flow is called critical depth. $%  $% Froudes number = Velocity/Root of height*velocity.
	Divakar, 2016, What's v2/g? Please explain.
	Vishu, 2016, It is possible only for the rectangular channel.
	Sreesha, 2016, As we know, that v is directly proportional to √ g*h according to Froude's law.
	Ravi, 2016, Froud number equals to 1 for critical so (V/(√gh)):1.
	Bapugouda, 2016, Please, anyone give me the explanation of the answer.
	Abhishek Anand, 2017, The depth of water in a channel when vel of flow is critical or when the specific energy is min is called critical depth of the channel. $%  $% Critical vel of flow is the vel at which sp.energy is minimum. $% Specific energy ->    E=h+(v^2/2g). $% For minimization,   dE/dh =0. $% On putting v=Q/A. $% We get ,  1=v^2/gh. $% So, V= (gh)^1/2 or sqrt of gh. $%  $% Which is critical velocity; $% So, critical depth= v^2/g.
	Vaibhav Patle, 2017, No, the right answer is v2/2g.
	Sandip Buktare, 2017, For critical depth = v/root of height * gravity. $% 1 = v/root of height * gravity, $% The root of height * gravity = v, $% Taking square of both side.  $% h * g = v^2 $% h = v^/g.
	Santhosh C, 2017, V in the above equation is critical velocity. That is velocity with respect to the critical depth of flow.
	Santhosh C, 2017, Critical velocity Vc = root of g * hc(Critical depth of flow).
	Rohit, 2017, V^2/2g is the right answer.
	Nitesh Saini, 2017, A is correct answer.  $%  $% Reason behind that v^2/2g is a term used in specific energy not for critical depth i.e. E= h+v^2/2g = specific energy. $%  $% But critical depth is that depth at which specific energy is minimum so we have to differentiate above equation w.r.t h ... And then term comes dE/dh= 1+ q^2/2g(-2/h^3)=0 ... And simplify this equating we will get h= q^2/g .... i.e. (av)^2/g... i.e. v^2/g. $%  $% I hope you will understand what i m saying good luck friends for your future.
	Kajal Ncp, 2018, Thanks @Nitesh.
	Thundir, 2018, E = y + v^2/2g is specific energy. $% Here, v^2/2g is KINETIC energy and "y" is POTENTIAL energy. $% So, the given answer is correct.
	Anurag, 2019, I think [q^2/g]^[1/3].
	Amare Yihunie, 2019, For critical flow type specific energy = yc + v2/2g. $% for rectangular channel = Ec = 1.5 yc. $% 1.5 yc = yc + v2/2g, $% 0.5 yc = v2/2g, $% yc = v2/g.
	Priyanka Shah, 2019, Thank you @Nitesh.
	Prassy, 2020, hc=( q2/g)^1/3. $%  $% Taking cube on both sides hc^3= q2/g. $%  $% q=Q/b= A*V/b= (b*h*V)/b= (h*v), $% hc^3= (hc * V)^2/g, $% hc= V2/g.
	Sudip Timalsena, 2021, Thank you @Prassy.
	Sanjay Panchal, 2021, Thanks.



1180. The ratio of maximum velocity to average velocity of viscous fluid through a circular pipe is
	Arun Kumar Meena, 2016, Why answer is 2.00?
	Anil, 2016, How the answer is 2?
	Poobathy, 2016, How this answer?
	Jaganreddy, 2016, How it is? Explain.
