3297. A district road with a bituminous pavement has a horizontal curve of 1000 m for a design speed of 75 km ph. The super-elevation is
	Yugananth P, 2013, e = V^2/225R. $%  $%   = 75 * 75/(225*1000). $%  $%   = 1/40 (or). $%  $%   = 1 in 40.
	Ramkishor Sahu, 2019, Superelevation is always. $%  $% e+f=v^2/127R. $%  $% But for the design of the superelevation we take, $%  $% e=V^2/225R. $%  $% So, Here velocity 75 kmph and horizontal curve 1000 meter given. $%  $% That means it is the radius of the horizontal curve. $%  $% Note:- Horizontal curve always given in the form of the radius. $%  $% Put these values to find the horizontal curve, $%  $% e = 75^2 / (225*1000). $%  $% e = 1/40. $%  $% Thank you.
	Jeet, 2020, Super elevation = V^2 / 225 R. $%  $% = 75x75 / 225x1000. $%  $% = 0.025 = 1 in 40.
	Just, 2020, 75*75/(225*1000) = 75/(3*1000) = 25/1000  =  5/200 = 1/40.
	Pramit Samanta, 2020, If mixed traffic or maximum value was mentioned then it has to be e + f = V2/225R. Otherwise for design purpose e + f = V2/127R.
	Sushil, 2020, Super elevation = V^2 / 225 R. $% = 75x75 / 225x1000. $% = 0.025 = 1 in 40.
	Umesh, 2020, as per IRC  e=v^/225.R. $%  $% Here, In question, it should be 1000m radius
	Elavarasy R, 2021, v^2/225R.  $% = 75 x 75/227 x 1000. $% = 0.025. $% =1in40.
	Dr. Anuj, 2021, This will as per the design steps given by IRC for heterogeneous traffic. Step one is, you have to find the value of e (superelevation) neglecting friction for 75% of design speed.  $%  $% If the value so obtained is less than 0.07, the design is over and that value is taken as the designed value of superelevation.
	Jahidul Islam, 2021, V^2\225R is correct.
	Happy Singh, 2021, Given data, $%  $% Speed = 75 kmp = 75*5/18 m/s = 20.83333333 m/s. $% 75% speed is the designed speed. So, 75% speed=20.83333333*0.75 m/s =15.625 m/s $% Radius of  curvature = 1000m. $%  $% Here 'g' is the gravitational acceleration and the value of 'g' is 9.8 m/s. $%  $% Formula of super elevation is (V2/gR) =(15.625*15.625/(9.8*1000)) =0.024912309% $% 0.024912309% of Super elevation means 1 in  40.1408. $% So, the answer is 1 in 40 is correct.
	Omkar, 2021, Yes @Yugananth $%  $% V^2/225R is the correct formula.



3298. The minimum value of camber provided for thin bituminous surface hill roads, is
	Jaju Krishna, 2014, Because water is to drain out from camber frequently, hence more camber slope is provided.
	Yogi, 2014, The minimum value of camber provided for high bituminous surface hill roads, is 2%.
	Pawan Kumar, 2014, Range of camber for thin bitumen surface in hilly areas = 1 in 40 to 1 in 50. $%  $% Since it is hilly areas thus it should be 1in 40~2.5 percent.
	Manoj Kumar Sah, 2014, Value of camber road for thin bituminous in urban area always 2.5 percent.
	Devkate Govind, 2015, Type of road plain terrain hilly road. $%  $% 1) For concrete & Thick bitumen road 2% 1.7%. $%  $% 2) Thin bitumen 2.5 % 2%. $%  $% 3) Wbm road 3% (3.3) 2.5%. $%  $% 4) Earth road 4% 3%.
	S.Harsha, 2015, Its exactly 2.5% because it is a bituminous hilly road.
	Latifurrahman, 2015, 2.5% to 3% that minimum value of camber.
	Sourav Chakraborty, 2016, I think this questions is incomplete because camber is also depend upon area of amount of rainfall.
	Ashu, 2016, According to IRC it is 2.5%.
	Rahul, 2016, Please, Tell me about an Irc chart.
	Nayak, 2016, The minimum value of camber 2.5%and 3%.
	Sree Vidhya, 2016, It should be 2 to 2.5%.
	Kalyan Rayudu, 2016, The minimum chamber provided for hill chamber is 2.5%.
	Hashan Weragoda, 2017, Generally minimum chamber slope is 2%.
	Siddhanth, 2017, cc, high bituminous - 2%. $% Thin bituminous - 2.5%. $% Wbm - 3%. $% Earthen road - 4%.
	Mohammad Salman, 2017, 2.5% generally minimum camber in hill road.
	Deshraj, 2017, In forest areas, why bitumen surface gets pach much with compare to normal areas?
	Shahim, 2017, According to the AHC Specifications 2.5% is the correct answer.
	Sourav, 2017, For Thin Bituminous, Min camber is 2% As per as IRC.
	Chaitanya Raval, 2017, A tilt built into a road at a bend or curve, enabling vehicles to maintain speed.
	Sharan, 2017, It depends on amount of rainfall also.
	Sanjay, 2017, For thin bituminous road provide, $%  $% Heavy rain fall : 2.5%. $% Normal rainfall : 2.0%.
	Vishrut Saini, 2017, 2.5% generally minimum camber in hill road.
	King Maker, 2017, Thin bituminous surface 1&div;40 = 0.025. $% 0.025 convert to %.  $% So 0.025*100 = 2.5%.
	Rajesh, 2017, It is Depend on rain capacity.
	Ayaz Ahmed, 2017, Generally 2.5% in hill areas.
	Datta Wasmatkar, 2017, For bituman road 3% and wbm 4%.
	Ali Gul, 2017, Exactly, 2.3 for hill road.
	Anil, 2017, Thin bitumen 2.5.
	Shivam Jaiswal, 2017, Generally, we provide 2.5% normal camber in the bituminous pavement and 3% in a concrete road.
	Ayebare Junior, 2017, Generally, for thin bituminous pavements, the minimum camber should be 2.5% to cater for drainage of the surface runoffs.
	Srimanta Haldar, 2018, In the hilly area where we can provide a minimum of 2.5% camber,& maximum of 10% camber. $%  $% Although 7% is max required for the road as per ISI. But in hill road, we can avoid as per position.
	Kona, 2018, Hilly mean heavy rainfall area.
	Ajay, 2018, For camber. $%  $% In CC road it is 1 in 50.  $% Thin bitumen 1 in 40. $% Gravel 1 in 33. $% Earthen 1 in 25.
	Jeetendra, 2019, Camber for the thin bituminous surface. $%  $% In high rainfall - 2.5% or 1 in 40. $% In light rainfall -2% or 1 in 40.
	Aadarsh, 2019, Hill roads = Heavy Rainfall = 1in 40 = 2.5.
	Abhishek K, 2019, CC/High Bituminous road - 1.7%(light rainfall), 2%(heavy rainfall). $% Thin Bituminous road - 2%(light rainfall), 2.5(heavy rainfall). $% WBM/gravel road - 2.5%(light rainfall), 3%(heavy rainfall). $% Earthen raod - 3%(light rainfall), 4%(heavy rainfall).
	K. Udaysree, 2019, Why we aren't providing crown for cement concrete roads? Please, anyone, tell me.
	Sanket Dhamankar, 2019, Please, anyone, tell me what is the max limit of camber in hilly roads.
	Avnish, 2020, If the crown is provided then there would be tension in upper and concrete are weak in tension, the crack will produce.
	Samadhan Lendave, 2020, 1) For concrete & Thick bitumen road 2% 1.7%. $% 2) Thin bitumen 2.5 % 2%. $% 3) Wbm road 3% (3.3) 2.5%. $% 4) Earth road 4% 3%.
	Asmi, 2020, Type of Pavement :  Heavy Rain fall --------------- Light Rain Fall $% high type Bituminous surface &CC : 1 in 50  ---------------  1 in  60. $% Thin Bituminous Surface : 1 in 40 --------------- 1 in 50.  $% WMM, Gravel : 1 in 33  --------------- 1 in 40.  $% Earth Road : 1 in 25   ---------------  1 in 33.
	Shahid Firoz Malik, 2021, Acc to IRC, it is necessary to drain off water from road hence more slope is provided. 2.5%.



3299. Design of horizontal and vertical alignments, super-elevation, sight distance and grades, is worst affected by
	Manoj, 2013, Width Length and Height are only physical points of a vehicle and nothing to do of design of road because width, length and height are only come into consideration in turning manoeuvre.
	Jay Mishra, 2014, A road is totally design by speed of vehicle in friction, stopping distance, longitudinal slopes etc.
	Shams Marwat, 2014, Yes in the same way the superelevation of a vehicle is also designed by speed of vehicle. i.e. v*v/225R.
	Sanjay, 2014, Here it is true that the width, length and height does not provide any effect for worsting the alignment. Speed of the vehicle is the right answer.
	Onkar, 2015, Aspect related to roads are decided by speed of the vehicle, which shall work for any vehicle irrespective of the model.
	Sabariii, 2015, Width of the vehicle is influenced only in sight distance; otherwise speed of the vehicle is the right answer.
	Revathi, 2015, This is designed as per speed of the vehicle.
	Neeraj Maurya, 2015, Road design consider to the speed.
	Santhi, 2016, Because of pavement design is mainly depending up on the design speed of the vehicle.
	Vikash, 2016, Speed of vehicle is only involved as a variable while the other three parameters are taken as per IRC reccomendation. Thus ie speed which contributes a major role.
	Krishna Kant, 2016, Width, length, height don't have any impact?
	Dhananjay Singh, 2016, Width length and height of vehicle are fixed parameter according to IRC and speed is variable for different speed SSD will be different so speed is considered to be worst (But at the time of designing of road length width and height of vehicle also considered).
	Haroon, 2018, Width:pavement width, shoulder & parking. $% Length:radius of curve, extra widening, osd &ssd. $% Height:vertical clearance & flyovers, electric poles. $% Speed: gradient, superelevation, sight distance.
	Yash, 2018, Speed is the major contribution of superelevation but in the road designing width height, length is also considered acc to IRC.
	Arjun, 2019, Speed is the overall function of Geometric design.
	Niladri Nag, 2020, What do they mean by worst affected? Please explain.
	Netinol, 2021, Worst affected mean very dangerous condition.
	M K Sinha, 2021, The Road design must be followed the speed of vehicle.



3300. Thickness of a pavement may be reduced considerably by
	Sreenivas, 2013, The major factors which governs the thickness of the pavement are 'Traffic' and 'subgrade soil strength' apart from climatic conditions ( frost action etc.), material characteristics etc.  $%  $% However, there were no options related to the above discussed.  $%  $% Option (A) affects the thickness because the subgrade soil strength (measured in CBR(%)) changes with the density of the soil.  $%  $% Option (B) also affects the thickness because the stabilized soils do possess higher soil strength/desired properties than the unstabilized.  $%  $% Option (C) deals with the drainage of the soils. Drainage affects the performance of the pavement. If the pavement results in a poor performance under drainage condition, an additional "drainage layer" should be provided (IRC 37:2012) and also while strengthening the roads, it is expected to get more characteristic deflection results in providing more thickness than the properly drained pavement. $%  $% THEREFORE, all the options ( compaction, stabilization, drainage ) do affects the pavement thickness. Hence, OPTION (D) is the ANSWER.
	Sanjay, 2014, The pavement mainly depends upon the compaction, stabilization and drainage of soil for his reduction.
	Jahangeer, 2016, Thickness of pavement can be decrease by the soil compaction hence the voids are removed.
	Dakpo Saviour Dela Doyen, 2016, @Sreenivas. $%  $% Your explanation is adequate in content and reference. I think drainage is important because if the pavement is poorly drained, the particles in the layer tend to loose their compressive strength as a result of reduced inter-particle friction. This can cause the pavement layer to deform excessively and fail.
	Prince Kumar, 2019, Thickness of pavement with compaction or without compaction. $%  $% Aggregate size for pavement, sub base, base course.
	Gowtham, 2019, The amount of compaction is done by considering the loads applied on the pavement so the pavement thickness depends on the amount of loads applied on the pavement surface but not by the compaction.



3301. The total length of a valley formed by two gradients - 3% and + 2% curve between the two tangent points to provide a rate of change of centrifugal acceleration 0.6 m/sec2, for a design speed 100 km ph, is
	Venkatesh, 2013, Here N = 0.03+0.02 = 0.05. $%  $% L = 0.38(NV^3)^0.5. $%  $% L = 84.76MTS APPROX.
	Ram Kumar, 2013, Length is 84.16 means, then what s the answer? option A or option C.
	Alik Biswas, 2014, We Know, L= 2*(N*v^3/c)^0.5 (Length of valley curve). $%  $% Here, N = 2%-(-3%) (Algebraic difference in grades). $%         = 5% Or 0.05. $%  $%       v = 100 km/hr or 27.778 m/sec (Design Speed). $%       c = 0.6 m/sec3 (Centrifugal acceleration). $%  $% Therefore, L= 2*(0.05*27.778^3/0.6)^0.5 = 84.53 m. $%  $% Say,84.60 m ([C] is the correct answer.
	Twizere Kagunga Elie, 2014, I don't understand well if N is load or if is median.
	Nitin, 2015, N is sum of upward & downward gradient.
	Manikanth, 2015, Lenth of valley curve for comfort condition is 2(Nv^3/c)^0.5.
	Tarun, 2015, V = 1km/hr*5/18 is m/s.
	Selvi, 2015, L = 0.378(NV3)^1/2. $% = 0.378(.05*100*100*100)^.5. $% = 86.4 m.
	Rishabh, 2015, L is the length of valley curve. $%  $% And this formula is applicable in this case only 2(Nv^3/c)^0.5.
	Harpreet Singh, 2015, I don't understand. Please explain.
	Nikhil, 2016, What is mean by V?
	Santhi, 2016, Here v is the design speed of the vehicle.
	Ayebare Junior Jeezy, 2016, If V is the speed =100km/hr. $% Difference in grades = A = (m - n). $% = (-3 - 2) = 5% of acceleration $% = 0.6. $%  $% But V =100 x 1000/60 x 60 = 27.8m/s. $% L = 2*(aV^3)^0.5. $% =((2)*0.05 x 27.8^3/0.6)^0.5). $% = 84.53m.
	Elsadig Ahmed Ali, 2016, V = 1000 km/hr = 27.8 m/s. $% N = 5%. $% C = .6. $%  $% L = 2 * ((N * V^3) / C)^.5, $% L = 2 * ((.05 * 27.8^3) / .6)^.5, $% L = 2 * ((.05 * 21484.952) / .6)^.5, $% L = 2 * (1074.2 / .6)^.5, $% L = 2 * (1790.3)^.5, $% L = 2 * 42.3. $% L = 84.6.
	Samm, 2016, But N is not a difference in grade, it is deviation angle in radians. Please clarify this.
	Ravindra, 2016, @Alik Biswas, Well. Here, 'c' means what?
	Elsadig Ahmed Ali, 2016, @Samm. $% N = |n2 - n1| = |-3 - 2| =|-3 + -2| = |-5| = 5. $%  $% @Ravindra. $% C = centrifugal acceleration = 0.6 m/s^2.
	Sarang Mote, 2016, L = 2x(NV3/c)"0.5. $% L = 2*((0.05 * 27.78 * 27.78 * 27.78)/0.6)"0.5. $% L = 84.53m.
	Adikeri, 2016, Not understanding. Explain in detail.
	Doha, 2017, L = (A*V^2)/1300a, $% L = (5 * 100^2)/1300 * 0.6, $% L = 64.1m.
	Dame Abebe, 2017, Yes, L =84.60 so option "C" is the answer.
	Sandi, 2017, L = 2X(NV3/C)^.5, $% N = .05, $% V = 27.78, $% L = 84.498.
	Vamsi, 2017, Answer is C.
	David Bielstein, 2018, I thought the centrifugal acceleration at the beginning of a parabolic curve would be 0 m/sec^2, increasing to the maximum acceleration at the point directly above or below the PI, and then back to 0. $%  $% Is 0.6 m/sec^2 assumed to be the maximum instantaneous centrifugal acceleration?
	Shahbaz Bashir, 2019, N is the difference between raising gradient and falling gradient i.e N = n1 - n2  and also falling gradient = negative (-) similarly raising gradient =positive (+).
	Shaguftasultana, 2019, N=|-3-2|=5,  $% L=2* {(Nv^3)/C}, $% =2* 5*(100/3.6)/0.6, $% = 84.57.
	Prince, 2021, Both the gradients are positive so it should be subtracted right?



3302. Traffic engineering only includes
	Neeraj Maurya, 2015, Yes E is right answer because traffic engineering consider all parameter of the design.



3303. For the movement of vehicles at an intersection of two roads, without any interference, the type of grade separator generally preferred to, is
	Madan Gorathoki, 2013, Clover leaf is used when two high volume and high speed facilities intersect each other. It requires only one structure and is very popular where as Diamond interchange involves a major-minor crossing and is designed for a narrow right of way of major road.
	Neeraj Maurya, 2015, What is the clover leaf?
	Madan Gorathoki, 2016, Cover leaf is a two-level interchange in which left turns (reverse directions in left-driving regions), are handled by ramp roads. The objective of a cloverleaf is to allow two highways to cross without the need for any traffic to be stopped by red lights, even for left and right turns.
	Vishwajeet Keshri, 2016, Please, explain the other grades.
	Shilpa, 2016, What is grade separator?
	Amit, 2016, Grade separator means changing in the gradient i.e. rise or fall of road surface.
	Haylee, 2017, @ Shilpa. $%  $% Grade separation is the name given to a method of aligning a junction of two or more surface transport axes at different heights (grades) so that they will not disrupt the traffic flow on other transit routes when they cross each other.
	Abhishek, 2017, What is diamond interchange?
	Hari Hajare, 2018, Traffic is moving at different level at the intersection such intersection is called as grade separated intersection. $%  $% Ex. Clover leaf intersection.
	Wubrst, 2018, Please, explain about other grade separators.
	Janhavi, 2019, Please explain other type of seperators.
	Shuvam Thakur, 2019, @Janhavi. $%  $% Grade separator means changing in the gradient i.e. rise or fall of road surface.
	Sapan Kumar, 2019, A cloverleaf interchange is a two-level interchange in which left turns are handled by ramp roads. To go left, vehicles first continue as one road passes over or under the other, then exit right onto a one-way three-fourths loop ramp and merge onto the intersecting road.



3304. If the ruling gradient on any highway is 3%, the gradient provided on the curve of 300 metre radius, is
	Vivek Kumar Gautam, 2013, Grade compensation = 30+r/r = 30+300/300 = 330/300 = 1.1, $%  $% Ruling gradient = 3%,  $%  $% Maximum limit of grade compensation = 75/300 = 0.25, $%  $% So compensated gradient = 3-0.25 = 2.75.
	Satya, 2013, According to IRC grade compensation is not necessary for gradients flatter than 3%.
	Gurdeep Singh, 2013, According to irc grade compensation is not provided for gradients flatter than 4%.
	Abe, 2013, According to IRC grade compensation is not necessary for gradients flatter than 3%.
	Islavathjagathi, 2013, According to IRC grade compensation is not necessary for gradients flatter than 4%. If it is necessary we can calculate it. By using compensation formula.
	Tanmoy Saha, 2014, According to irc grade compensation is not provided for gradients flatter than 4%. $%  $% So correct option will be E.
	Surya, 2014, As per IRC grade compaction is not provided for gradients flatter than 4%. E is the answer.
	Dhawal, 2015, This answer is absolutely wrong. Because as per IRC recommendation grade compensation is not required for gradient flatter than 4%.
	Harsh, 2015, No grade compensation is required is gradient is flatter than 4%.
	Jimmy, 2015, In grade compensation also how the value 75 came in 75/300?
	Suchithra, 2015, Why 75/100 values was taken?
	Ashokkumar, 2015, Maximum value of grade compensation 75/R.
	Shahzad Ali, 2016, As per IRC grade compensation is provided only if ruling gradient is more than 4%.
	Rafi, 2016, 75/300 why provide?
	Abadit Tadesse, 2016, What is IRC means?
	Md Sharique, 2016, Indian Road Congress.
	Pradeep, 2016, What is the formula for calculation of compensation gradient?
	Subhankar, 2016, Answer is 3% because for less than 4% there is no grade compensation.
	Kck, 2016, I have not learn this formula in my college. IRC grade compensation is provided only if ruling gradient is more than 3.5%.
	D K Naik, 2016, 75/100 why provided here?
	Prashant Pal, 2016, Highway engineering KHANNA & JUSTO page 148, 149.
	Tnwalling, 2016, According to IRC grade compensation is provide if the gradient is steeper than 4% or radius of curvature is less than 305m. Since in the problem radius of curvature is given 300 (<305) we can calculate. The answer is 2.75.
	Piyali, 2016, Thanks for the explanation.
	Vijay, 2016, I too agree with the answer as option E.
	Subeer Kumar, 2016, According to IRC, grade flatter than 4% grade compensation is not required.
	Madhuri, 2016, Thanks for the explanation.
	Susan Rose, 2016, According to IRC grade compensation is not provided for gradients flatter than 4%.
	Sree Vidhya, 2016, Gradient of a highway is <4%, so the answer is 3% only, no need to compensate.
	Jebessa F, 2017, Why the value 75/300 is taken?
	Lone Khursheed, 2017, According to IRC, the grade compensation is not necessary for gradients flatter than 4% and therefore when applying grade competition correction, the gradients need not be eased beyond 4%.
	Jitendra Singh, 2017, Grade compensation = 75/r  =  75/300 = 3 - 0.25 = 2.75%.
	Kishor, 2017, What is maximum & minimum gradient according to IRC?                  $%  $% 1:60, 1:75gradient is wrong or right according to IRC?
	Rahul R M, 2017, As per IRC, NO grade compendsation is provided for gradient lesser than 4%. So answer is E.
	Sravanthi, 2017, Thanks for all the given explanation.
	Virendra Singh, 2017, Thanks, for this explanation.
	Sabin Acharya, 2017, As per NRC-2070 grade compensation only required when the gradient of the road is greater than 4% and i.e (30+R)/30, where R is a curve radius in m.  And maximum permissible grade compensation is 75/R.
	Rajesh, 2017, Grade compensation only required when the gradient of the road is greater than 4%.
	Ramu, 2017, How the value 75 will come?
	Dineshkumar, 2017, According to IRC, a grade compensation of, (30+R/R) , maximum 75/R has to be provided for the grades more than 4%.
	Uday, 2018, Correct option E. $%  $% No compensation flatter than 4%.
	Biswajit Sardar, 2018, The answer should be 3% because gradient below 4% grade compensate is zero.
	Jai Vislavath, 2018, As per the IRC recommendations grade compensations should be done only when the Grade is above 4%. $%  $% Let's assume now grade compensation required, even though minimum GC of [(30+R)/R] and 75/R should consider. If we use 75/R, we will GC as 0.25 and Using 30+R/R we get 1.1.  $%  $% So, we should consider only 0.25 instead of 1.1.
	Deekshith, 2018, According to IRC, grade compensation is not provided for gradients flatter than 4%.
	Sam, 2018, 3% is the answer.
	Gabbar, 2018, Actual Percent - (75/R) = 3 - (75/300) = 3 - 0.25 = 2.75.
	Shahbaz Bashir, 2019, Although Grade compensation = 30 + R / R = 1.1  and maximum limit of grade compensation = 75/ R = 0.25 but less than 1.1  so, $%  $% Compensiated grade = 3% - 0.25% = 2.75% which is less than 4%.
	Imu, 2019, Please, Justify the necessity of grade compensation in a hilly area.
	G.P.Gausinha, 2019, Option E is correct because given gradient is 3% while grade compensation is provided if gradient is greater than 4%.
	Vaibhav, 2019, As per IRC, $% If R> 45 use75/r , otherwise 30+r/r.
